Date,Event,Relative Rating, Absolute Rating
2002-06-29,WWE Velocity #6,1.20,-
2002-06-30,WWE Sunday Night Heat,1.00,-
2002-07-01,WWE RAW #475,3.60,-
2002-07-04,WWE SmackDown #151,2.00,-
2002-07-06,WWE Confidential #7,0.80,-
2002-07-06,WWE Velocity #7,0.90,-
2002-07-07,WWE Sunday Night Heat,1.30,-
2002-07-08,WWE RAW #476,3.70,-
2002-07-11,WWE SmackDown #152,3.30,-
2002-07-13,WWE Confidential #8,0.90,-
2002-07-13,WWE Velocity #8,0.80,-
2002-07-14,WWE Sunday Night Heat,0.90,-
2002-07-15,WWE RAW #477,3.80,-
2002-07-18,WWE SmackDown #153,3.40,-
2002-07-20,WWE Confidential #9,0.90,-
2002-07-20,WWE Velocity #9,0.80,-
2002-07-21,WWE Sunday Night Heat,1.00,-
2002-07-22,WWE RAW #478,4.30,-
2002-07-25,WWE SmackDown #154,3.30,-
2002-07-27,WWE Confidential #10,0.80,-
2002-07-27,WWE Velocity #10,0.80,-
2002-07-28,WWE Sunday Night Heat,1.00,-
2002-07-29,WWE RAW #479,3.70,-
2002-08-01,WWE SmackDown #155,3.10,-
2002-08-03,WWE Confidential #11,1.00,-
2002-08-03,WWE Velocity #11,1.00,-
2002-08-04,WWE Sunday Night Heat,1.20,-
2002-08-05,WWE RAW #480,3.70,-
2002-08-08,WWE SmackDown #156,2.70,-
2002-08-10,WWE Confidential #12,0.90,-
2002-08-10,WWE Velocity #12,0.80,-
2002-08-11,WWE Sunday Night Heat,1.20,-
2002-08-12,WWE RAW #481,3.90,-
2002-08-15,WWE SmackDown #157,3.50,-
2002-08-17,WWE Velocity #13,0.80,-
2002-08-18,WWE Sunday Night Heat,1.00,-
2002-08-19,WWE RAW #482,4.00,-
2002-08-22,WWE SmackDown #158,3.60,-
2002-08-24,WWE Velocity #14,0.70,-
2002-08-25,WWE Sunday Night Heat,0.90,-
2002-08-26,WWE RAW #483,3.90,-
2002-08-29,WWE SmackDown #159,3.10,-
2002-08-31,WWE Velocity #15,0.90,-
2002-09-01,WWE Sunday Night Heat,0.80,-
2002-09-02,WWE RAW #484,3.60,-
2002-09-05,WWE SmackDown #160,3.20,-
2002-09-07,WWE Velocity #16,0.70,-
2002-09-08,WWE Sunday Night Heat,0.80,-
2002-09-09,WWE RAW #485,3.40,-
2002-09-12,WWE SmackDown #161,3.70,-
2002-09-14,WWE Velocity #17,0.90,-
2002-09-15,WWE Sunday Night Heat,1.00,-
2002-09-16,WWE RAW #486,3.40,-
2002-09-19,WWE SmackDown #162,3.50,-
2002-09-21,WWE Velocity #18,0.70,-
2002-09-22,WWE Sunday Night Heat,1.40,-
2002-09-23,WWE RAW #487,3.60,-
2002-09-26,WWE SmackDown #163,3.60,-
2002-09-28,WWE Velocity #19,0.70,-
2002-09-29,WWE Sunday Night Heat,1.00,-
2002-10-03,WWE SmackDown #164,3.60,-
2002-10-05,WWE Velocity #20,0.70,-
2002-10-06,WWE Sunday Night Heat,0.80,-
2002-10-07,WWE RAW #489,3.80,-
2002-10-10,WWE SmackDown #165,3.60,-
2002-10-12,WWE Velocity #21,0.80,-
2002-10-13,WWE Sunday Night Heat,0.80,-
2002-10-14,WWE RAW #490,3.80,-
2002-10-17,WWE SmackDown #166,3.40,-
2002-10-19,WWE Velocity #22,0.70,-
2002-10-20,WWE Sunday Night Heat (US-Version),1.00,-
2002-10-21,WWE RAW #491,3.70,-
2002-10-24,WWE SmackDown #167,3.70,-
2002-10-26,WWE Velocity #23,0.60,-
2002-10-28,WWE RAW #492,3.40,-
2002-10-31,WWE SmackDown #168,3.30,-
2002-11-02,WWE Velocity #24,0.60,-
2002-11-03,WWE Sunday Night Heat,1.10,-
2002-11-04,WWE RAW #493,3.50,-
2002-11-07,WWE SmackDown #169,3.60,-
2002-11-09,WWE Velocity #25,0.60,-
2002-11-10,WWE Sunday Night Heat,0.80,-
2002-11-11,WWE RAW #494,3.10,-
2002-11-14,WWE SmackDown #170,3.60,-
2002-11-16,WWE Velocity #26,0.80,-
2002-11-17,WWE Sunday Night Heat,0.90,-
2002-11-18,WWE RAW #495,3.70,-
2002-11-21,WWE SmackDown #171,3.50,-
2002-11-23,WWE Velocity #27,0.90,-
2002-11-24,WWE Sunday Night Heat,1.40,-
2002-11-25,WWE RAW #496,3.40,-
2002-11-28,WWE SmackDown #172,2.70,-
2002-11-30,WWE Velocity #28,0.70,-
2002-12-02,WWE RAW #497,3.30,-
2002-12-05,WWE SmackDown #173,3.40,-
2002-12-07,WWE Velocity #29,0.70,-
2002-12-08,WWE Sunday Night Heat,1.10,-
2002-12-09,WWE RAW #498,3.30,-
2002-12-12,WWE SmackDown #174,3.20,-
2002-12-14,WWE Velocity #30,0.80,-
2002-12-15,WWE Sunday Night Heat,1.10,-
2002-12-16,WWE RAW #499,3.50,-
2002-12-19,WWE SmackDown #175,3.30,-
2002-12-21,WWE Velocity #31,0.80,-
2002-12-22,WWE Sunday Night Heat,1.00,-
2002-12-23,WWE RAW #500,3.30,-
2002-12-26,WWE SmackDown #176,3.40,-
2002-12-28,WWE Velocity #32,0.90,-
2002-12-29,WWE Sunday Night Heat,1.10,-
2003-01-04,WWE Velocity #33,0.70,-
2003-01-06,WWE RAW #502,3.60,-
2003-01-09,WWE SmackDown #178,3.40,-
2003-01-11,WWE Velocity #34,0.70,-
2003-01-12,WWE Sunday Night Heat,1.10,-
2003-01-13,WWE RAW #503,3.90,-
2003-01-16,WWE SmackDown #179,3.40,-
2003-01-18,WWE Velocity #35,0.70,-
2003-01-20,WWE RAW #504,3.80,-
2003-01-23,WWE SmackDown #180,3.50,-
2003-01-25,WWE Velocity #36,1.00,-
2003-01-26,WWE Sunday Night Heat,0.80,-
2003-01-27,WWE RAW #505,4.10,-
2003-01-30,WWE SmackDown #181,3.20,-
2003-02-01,WWE Velocity #37,0.60,-
2003-02-02,WWE Sunday Night Heat,1.00,-
2003-02-03,WWE RAW #506,3.50,-
2003-02-06,WWE SmackDown #182,3.30,-
2003-02-08,WWE Velocity #38,0.80,-
2003-02-09,WWE Sunday Night Heat,1.00,-
2003-02-10,WWE RAW #507,3.90,-
2003-02-13,WWE SmackDown #183,3.20,-
2003-02-15,WWE Velocity #39,0.60,-
2003-02-17,WWE RAW #508,3.80,-
2003-02-20,WWE SmackDown #184,3.40,-
2003-02-22,WWE Velocity #40,0.80,-
2003-02-24,WWE RAW #509,4.00,-
2003-02-27,WWE SmackDown #185,3.50,-
2003-03-01,WWE Velocity #41,0.90,-
2003-03-02,WWE Sunday Night Heat,1.10,-
2003-03-03,WWE RAW #510,4.50,-
2003-03-05,WWE SmackDown #186,3.30,-
2003-03-08,WWE Velocity #42,0.80,-
2003-03-09,WWE Sunday Night Heat,1.00,-
2003-03-10,WWE RAW #511,4.00,-
2003-03-13,WWE SmackDown #187,3.00,-
2003-03-15,WWE Velocity #43,0.70,-
2003-03-16,WWE Sunday Night Heat,1.00,-
2003-03-17,WWE RAW #512,3.80,-
2003-03-20,WWE SmackDown #188,2.70,-
2003-03-22,WWE Velocity #44,0.70,-
2003-03-23,WWE Sunday Night Heat,1.10,-
2003-03-24,WWE RAW #513,3.50,-
2003-03-27,WWE SmackDown #189,3.20,-
2003-03-29,WWE Velocity #45,0.70,-
2003-03-30,WWE Sunday Night Heat,1.10,-
2003-03-31,WWE RAW #514,3.70,-
2003-04-06,WWE Sunday Night Heat,1.00,-
2003-04-07,WWE RAW #515,3.50,-
2003-04-14,WWE RAW #516,3.45,-
2003-04-21,WWE RAW #517,3.80,-
2003-04-28,WWE RAW #518,3.90,-
2003-05-05,WWE RAW #519,3.50,-
2003-05-12,WWE RAW #520,4.40,-
2003-05-19,WWE RAW #521,3.60,-
2003-05-26,WWE RAW #522,3.70,-
2003-06-02,WWE RAW #523,3.90,-
2003-06-09,WWE RAW #524,3.50,-
2003-06-16,WWE RAW #525,4.10,-
2003-06-23,WWE RAW #526,3.90,-
2003-06-30,WWE RAW #527,3.60,-
2003-07-07,WWE RAW #528,4.20,-
2003-07-14,WWE RAW #529,3.80,-
2003-07-21,WWE RAW #530,4.20,-
2003-07-28,WWE RAW #531,4.20,-
2003-08-04,WWE RAW #532,4.00,-
2003-08-11,WWE RAW #533,3.90,-
2003-08-18,WWE RAW #534,4.00,-
2003-08-25,WWE RAW #535,4.20,-
2003-09-01,WWE RAW #536,4.30,-
2003-09-08,WWE RAW #537,3.60,-
2003-09-15,WWE RAW #538,3.70,-
2003-09-22,WWE RAW #539,3.60,-
2003-09-29,WWE RAW #540,3.40,-
2003-10-06,WWE RAW #541,3.40,-
2003-10-13,WWE RAW #542,3.60,-
2003-10-20,WWE RAW #543,3.70,-
2003-10-27,WWE RAW #544,3.40,-
2003-11-03,WWE RAW #545,3.40,-
2003-11-10,WWE RAW #546,3.70,-
2003-11-17,WWE RAW #547,3.60,-
2003-11-24,WWE RAW #548,3.60,-
2003-12-01,WWE RAW #549,3.70,-
2003-12-08,WWE RAW #550,3.80,-
2003-12-15,WWE RAW #551,3.50,-
2003-12-22,WWE RAW #552 - Year in Review,3.00,-
2003-12-25,WWE SmackDown #228 - Christmas from Baghdad,3.00,-
2003-12-29,WWE RAW #553,3.70,-
2004-01-01,WWE SmackDown #229,2.80,-
2004-01-03,WWE Velocity #84,0.90,-
2004-01-04,WWE Sunday Night Heat,1.10,-
2004-01-05,WWE RAW #554,3.50,-
2004-01-08,WWE SmackDown #230,3.60,-
2004-01-10,WWE Velocity #85,0.90,-
2004-01-11,WWE Sunday Night Heat,1.10,-
2004-01-12,WWE RAW #555,3.60,-
2004-01-15,WWE SmackDown #231,3.40,-
2004-01-17,WWE Velocity #86,0.70,-
2004-01-18,WWE Sunday Night Heat,1.00,-
2004-01-19,WWE RAW #556,3.30,-
2004-01-22,WWE SmackDown #232,3.60,-
2004-01-24,WWE Velocity #87,0.80,-
2004-01-25,WWE Sunday Night Heat,1.10,-
2004-01-26,WWE RAW #557,4.00,-
2004-01-29,WWE SmackDown #233,3.60,-
2004-01-31,WWE Velocity #88,0.70,-
2004-02-01,WWE Sunday Night Heat,0.60,-
2004-02-02,WWE RAW #558,3.70,-
2004-02-05,WWE SmackDown #234,3.40,-
2004-02-07,WWE Velocity #89,0.70,-
2004-02-08,WWE Sunday Night Heat,1.40,-
2004-02-09,WWE RAW #559,3.80,-
2004-02-12,WWE SmackDown #235,3.50,-
2004-02-14,WWE Velocity #90,0.50,-
2004-02-16,WWE RAW #560,3.80,-
2004-02-19,WWE SmackDown #236,3.50,-
2004-02-21,WWE Velocity #91,0.90,-
2004-02-22,WWE Sunday Night Heat,1.00,-
2004-02-23,WWE RAW #561,3.90,-
2004-02-26,WWE SmackDown #237,3.50,-
2004-02-28,WWE Velocity #92,0.90,-
2004-02-29,WWE Sunday Night Heat,0.90,-
2004-03-01,WWE RAW #562,3.80,-
2004-03-04,WWE SmackDown #238,3.30,-
2004-03-07,WWE Velocity #93,0.70,-
2004-03-07,WWE Sunday Night Heat,1.20,-
2004-03-08,WWE RAW #563,3.80,-
2004-03-11,WWE SmackDown #239,3.10,-
2004-03-14,WWE Velocity #94,0.90,-
2004-03-15,WWE RAW #564,4.00,-
2004-03-18,WWE SmackDown #240,3.60,-
