Date,Open,High,Low,Close,Adj Close,Volume
2021-03-17,57.540001,57.540001,55.529999,56.570000,56.076324,591500
2021-03-18,56.310001,56.689999,55.560001,55.959999,55.471645,528000
2021-03-19,55.930000,57.889999,55.570000,57.119999,56.621525,840600
2021-03-22,56.990002,58.080002,56.840000,57.740002,57.236115,560900
2021-03-23,57.380001,57.540001,55.820000,56.369999,55.878067,771700
2021-03-24,56.680000,61.320000,55.169998,56.590000,56.096153,2890600
2021-03-25,56.000000,57.270000,55.169998,55.250000,54.767841,1025600
2021-03-26,55.529999,56.169998,53.549999,55.000000,54.520020,1860900
2021-03-29,54.820000,56.400002,54.770000,56.090000,55.600513,470800
2021-03-30,55.910000,57.070000,55.509998,55.950001,55.461735,856800
2021-03-31,56.189999,56.669998,54.200001,54.259998,53.786484,651900
2021-04-01,54.529999,55.660000,54.259998,55.590000,55.104877,591100
2021-04-05,56.240002,56.400002,55.090000,55.490002,55.005749,641700
2021-04-06,55.220001,56.310001,55.130001,56.049999,55.560863,755200
2021-04-07,56.070000,56.500000,55.160000,56.500000,56.006935,436700
2021-04-08,56.779999,57.130001,55.730000,56.090000,55.600513,493500
2021-04-09,56.209999,58.500000,56.209999,58.360001,57.850704,1073700
2021-04-12,58.290001,58.439999,56.599998,56.799999,56.304317,700100
2021-04-13,56.779999,56.919998,55.799999,56.349998,55.858242,628500
2021-04-14,56.200001,56.759998,55.680000,56.230000,55.739288,863900
2021-04-15,56.750000,57.169998,56.330002,56.740002,56.244843,468300
2021-04-16,57.049999,57.049999,55.810001,56.360001,55.868156,491600
2021-04-19,56.689999,57.410000,56.189999,56.740002,56.244843,708900
2021-04-20,57.220001,57.220001,55.400002,56.580002,56.086239,708500
2021-04-21,56.650002,57.660000,56.180000,56.939999,56.443092,501400
2021-04-22,56.470001,56.910000,55.720001,56.220001,55.729378,1339600
2021-04-23,56.049999,56.650002,54.169998,54.230000,53.756748,1083100
2021-04-26,54.520000,56.049999,53.770000,55.619999,55.134609,860400
2021-04-27,56.099998,56.349998,55.200001,55.750000,55.263477,382800
2021-04-28,55.790001,55.970001,55.009998,55.549999,55.065224,242200
2021-04-29,55.410000,55.810001,54.910000,55.680000,55.194092,379000
2021-04-30,55.380001,55.930000,54.860001,55.110001,54.629066,992600
2021-05-03,55.450001,56.230000,55.150002,55.889999,55.402260,650900
2021-05-04,55.790001,55.849998,53.900002,54.340000,53.865784,605300
2021-05-05,54.470001,54.980000,54.020000,54.209999,53.736923,481500
2021-05-06,54.650002,55.029999,54.240002,54.959999,54.480370,338600
2021-05-07,55.099998,55.790001,54.820000,54.869999,54.391155,268300
2021-05-10,55.279999,55.529999,54.389999,54.590000,54.113602,299800
2021-05-11,54.009998,54.360001,53.279999,54.049999,53.578316,404600
2021-05-12,53.619999,54.000000,52.549999,52.810001,52.349140,415900
2021-05-13,53.009998,53.810001,52.200001,52.810001,52.349140,521200
2021-05-14,52.970001,53.810001,52.860001,53.689999,53.221455,419300
2021-05-17,53.810001,54.380001,53.349998,53.900002,53.429626,856000
2021-05-18,53.830002,53.930000,52.910000,52.970001,52.507744,1072200
2021-05-19,52.310001,53.000000,51.790001,52.689999,52.230183,504800
2021-05-20,52.959999,55.330002,52.959999,54.630001,54.153255,1075500
2021-05-21,55.400002,58.000000,55.189999,57.549999,57.047771,1708800
2021-05-24,57.430000,58.200001,56.830002,57.919998,57.414539,878500
2021-05-25,58.200001,58.349998,57.090000,57.279999,56.780125,517400
2021-05-26,57.500000,57.900002,56.389999,56.880001,56.383614,353300
2021-05-27,57.080002,57.200001,56.130001,56.669998,56.175446,778900
2021-05-28,56.669998,56.939999,55.799999,55.840000,55.352695,1066100
2021-06-01,56.160000,56.360001,54.750000,55.660000,55.174263,1219200
2021-06-02,55.560001,56.060001,54.340000,56.009998,55.521210,955300
2021-06-03,55.660000,56.959999,55.000000,56.770000,56.274574,856700
2021-06-04,57.000000,57.570000,56.619999,56.830002,56.334053,896600
2021-06-07,56.860001,57.209999,56.040001,56.290001,55.798767,475100
2021-06-08,56.540001,58.200001,56.180000,58.150002,57.642536,542500
2021-06-09,63.009998,70.720001,62.990002,64.480003,63.917290,7069400
2021-06-10,64.480003,66.550003,64.019997,64.879997,64.313797,1244900
2021-06-11,65.250000,65.250000,61.480000,62.549999,62.004139,1225800
2021-06-14,62.360001,64.290001,61.830002,63.439999,63.007248,844300
2021-06-15,63.139999,63.220001,61.450001,61.689999,61.269184,1376600
2021-06-16,61.880001,62.150002,59.490002,59.730000,59.322556,566800
2021-06-17,59.490002,59.599998,58.330002,58.779999,58.379032,746200
2021-06-18,58.549999,58.830002,57.520000,57.830002,57.435520,935800
2021-06-21,57.669998,58.169998,57.090000,57.779999,57.385857,533300
2021-06-22,57.380001,59.660000,56.980000,59.160000,58.756447,1334500
2021-06-23,58.759998,59.419998,58.330002,58.599998,58.200264,789000
2021-06-24,59.099998,59.330002,58.139999,58.790001,58.388973,453900
2021-06-25,58.889999,59.980000,58.889999,59.939999,59.531120,814200
2021-06-28,59.799999,60.180000,58.419998,59.009998,58.607468,413100
2021-06-29,58.750000,59.139999,57.820000,57.959999,57.564629,534900
2021-06-30,57.660000,58.360001,57.439999,57.889999,57.495106,1132400
2021-07-01,58.000000,58.490002,57.660000,58.360001,57.961903,340100
2021-07-02,58.310001,58.349998,57.099998,57.759998,57.365990,335500
2021-07-06,57.689999,57.689999,55.790001,56.470001,56.084797,680900
2021-07-07,56.490002,57.270000,55.750000,56.299999,55.915955,442700
2021-07-08,55.619999,56.200001,55.020000,55.720001,55.339912,506400
2021-07-09,55.639999,56.430000,55.060001,56.340000,55.955681,500500
2021-07-12,56.540001,56.540001,55.560001,55.900002,55.518684,458700
2021-07-13,55.610001,56.259998,55.189999,55.630001,55.250530,363800
2021-07-14,56.000000,56.090000,55.259998,55.330002,54.952572,271200
2021-07-15,54.959999,55.119999,50.419998,51.470001,51.118904,2264300
2021-07-16,51.639999,51.639999,50.220001,50.560001,50.215111,1302600
2021-07-19,49.599998,50.009998,48.299999,49.029999,48.695541,971400
2021-07-20,49.060001,50.000000,48.630001,48.680000,48.347935,873000
2021-07-21,48.939999,50.200001,48.669998,49.590000,49.251728,1545600
2021-07-22,49.540001,50.110001,48.560001,49.610001,49.271591,546400
2021-07-23,49.700001,49.700001,48.459999,49.020000,48.685616,339900
2021-07-26,49.020000,50.099998,48.770000,49.610001,49.271591,419800
2021-07-27,49.549999,49.730000,48.950001,49.200001,48.864384,455500
2021-07-28,49.590000,49.689999,48.610001,49.189999,48.854454,406400
2021-07-29,49.220001,49.730000,48.099998,48.099998,47.771889,593900
2021-07-30,48.029999,50.160000,47.529999,49.380001,49.043159,816900
2021-08-02,49.560001,50.919998,49.090000,49.150002,48.814728,832800
2021-08-03,48.880001,48.880001,47.689999,48.660000,48.328068,607900
2021-08-04,48.520000,49.619999,48.520000,48.590000,48.258549,421600
2021-08-05,48.840000,50.130001,48.840000,50.099998,49.758247,405700
2021-08-06,50.340000,50.820000,49.930000,50.330002,49.986679,486000
2021-08-09,50.340000,50.560001,49.630001,49.759998,49.420567,609800
2021-08-10,50.130001,51.090000,49.990002,50.240002,49.897293,630700
2021-08-11,50.099998,50.930000,49.910000,50.680000,50.334293,474900
2021-08-12,50.980000,51.000000,49.869999,50.470001,50.125725,314500
2021-08-13,50.619999,50.910000,50.169998,50.259998,49.917152,240300
2021-08-16,50.189999,50.290001,49.279999,49.799999,49.460293,418300
2021-08-17,49.310001,49.950001,48.759998,48.950001,48.616093,255600
2021-08-18,48.980000,49.349998,47.869999,47.939999,47.612980,569100
2021-08-19,47.270000,47.720001,46.810001,47.250000,46.927689,489600
2021-08-20,46.880001,49.200001,46.880001,48.509998,48.179092,1015100
2021-08-23,48.630001,49.529999,48.630001,49.049999,48.715408,403900
2021-08-24,49.119999,50.310001,49.119999,50.020000,49.678795,402300
2021-08-25,50.250000,50.560001,49.709999,50.209999,49.867496,323400
2021-08-26,50.000000,51.740002,49.889999,51.340000,50.989788,1054500
2021-08-27,51.209999,52.110001,50.849998,52.000000,51.645290,482600
2021-08-30,52.410000,52.410000,51.330002,51.930000,51.575760,383700
2021-08-31,51.770000,52.310001,51.599998,52.110001,51.754539,841200
2021-09-01,52.330002,52.919998,51.770000,52.349998,51.992897,355200
2021-09-02,52.830002,52.959999,52.020000,52.590000,52.231262,296200
2021-09-03,52.299999,52.400002,51.490002,52.000000,51.645290,368700
2021-09-07,51.619999,51.889999,50.730000,50.910000,50.562717,307700
2021-09-08,50.919998,51.290001,50.200001,50.549999,50.205181,544700
2021-09-09,50.520000,50.520000,49.410000,50.080002,49.738388,341000
2021-09-10,50.549999,53.410000,50.509998,51.910000,51.555897,1709300
