Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,24.437500,25.812500,19.437500,20.125000,8.959764,8807300
1999-12-01,20.500000,20.625000,14.062500,17.250000,7.679802,8516400
2000-01-01,17.125000,17.187500,14.187500,15.437500,6.872863,2457400
2000-02-01,15.625000,17.875000,9.750000,13.000000,5.787673,17546400
2000-03-01,14.375000,19.687500,12.250000,17.734375,7.895446,8181400
2000-04-01,18.000000,18.500000,13.125000,17.062500,7.596326,3789200
2000-05-01,17.125000,18.500000,16.250000,16.375000,7.290243,1615500
2000-06-01,16.937500,21.062500,16.062500,20.812500,9.265845,2949600
2000-07-01,20.437500,22.250000,19.687500,21.250000,9.460623,1921500
2000-08-01,21.250000,21.687500,18.375000,21.375000,9.516272,1973800
2000-09-01,21.375000,22.500000,14.062500,15.187500,6.761563,2872800
2000-10-01,15.687500,15.750000,14.250000,15.125000,6.733737,2482800
2000-11-01,15.062500,16.250000,13.000000,13.562500,6.038102,1121700
2000-12-01,13.687500,16.187500,12.750000,16.000000,7.123290,1618000
2001-01-01,16.062500,22.000000,15.500000,21.590000,9.611991,3215300
2001-02-01,21.590000,21.590000,13.500000,13.800000,6.143839,4157500
2001-03-01,13.550000,14.700000,11.510000,13.360000,5.947948,2646000
2001-04-01,13.460000,14.000000,12.560000,13.630000,6.068156,683000
2001-05-01,13.450000,14.740000,12.000000,12.210000,5.435963,1290800
2001-06-01,12.210000,13.950000,12.060000,13.800000,6.143839,1044900
2001-07-01,13.800000,15.500000,10.500000,10.500000,4.674662,1342200
2001-08-01,11.100000,12.670000,10.770000,11.300000,5.030826,2216400
2001-09-01,11.400000,13.200000,10.310000,13.200000,5.876717,1957700
2001-10-01,13.000000,13.010000,10.600000,11.270000,5.017470,1984200
2001-11-01,11.170000,13.000000,10.760000,12.850000,5.720894,1347100
2001-12-01,12.750000,13.670000,11.820000,13.150000,5.854456,827800
2002-01-01,13.200000,14.460000,12.950000,14.270000,6.353086,782700
2002-02-01,14.220000,14.280000,12.810000,13.550000,6.032539,476500
2002-03-01,13.650000,15.830000,13.250000,14.600000,6.500006,934500
2002-04-01,14.700000,15.590000,13.550000,14.450000,6.433221,582700
2002-05-01,14.400000,15.300000,14.010000,14.650000,6.522265,516100
2002-06-01,14.550000,14.790000,13.000000,14.600000,6.500006,1088100
2002-07-01,14.580000,14.580000,8.490000,10.150000,4.518838,2590800
2002-08-01,10.220000,10.400000,9.600000,9.700000,4.318494,1841600
2002-09-01,9.650000,9.900000,8.180000,8.370000,3.726372,534300
2002-10-01,8.380000,8.870000,6.760000,7.920000,3.526030,964800
2002-11-01,7.850000,9.020000,7.750000,8.700000,3.873291,699800
2002-12-01,8.650000,8.990000,7.600000,8.050000,3.583906,503300
2003-01-01,8.010000,8.600000,7.950000,8.090000,3.601715,507900
2003-02-01,8.190000,8.370000,7.850000,8.300000,3.695208,355400
2003-03-01,8.350000,8.450000,7.590000,7.660000,3.410276,989100
2003-04-01,7.610000,9.200000,7.430000,9.080000,4.042469,483400
2003-05-01,9.040000,10.300000,8.850000,10.180000,4.532197,278500
2003-06-01,10.150000,11.070000,9.100000,10.290000,4.581168,459600
2003-07-01,10.190000,10.500000,9.100000,9.810000,4.384413,583200
2003-08-01,9.810000,10.410000,9.150000,10.100000,4.514023,301200
2003-09-01,10.100000,10.850000,9.900000,10.020000,4.478270,491100
2003-10-01,10.020000,11.250000,10.020000,11.190000,5.021225,231900
2003-11-01,11.240000,11.900000,10.800000,11.520000,5.169305,353800
2003-12-01,11.580000,13.830000,10.880000,13.100000,5.878288,456000
2004-01-01,13.110000,14.150000,13.000000,13.310000,5.991096,440400
2004-02-01,13.230000,13.840000,12.400000,13.550000,6.099125,423200
2004-03-01,13.590000,14.480000,12.350000,14.450000,6.504236,422800
2004-04-01,14.400000,15.440000,13.720000,13.760000,6.212265,526300
2004-05-01,13.840000,13.900000,11.500000,12.140000,5.480880,2967200
2004-06-01,12.140000,13.590000,12.100000,12.750000,5.756279,3531700
2004-07-01,12.700000,13.200000,12.130000,12.710000,5.764481,1096800
2004-08-01,12.650000,12.850000,11.150000,12.010000,5.447005,969000
2004-09-01,11.960000,12.480000,11.650000,12.220000,5.542247,1122100
2004-10-01,12.240000,12.940000,11.800000,12.400000,5.652029,1223300
2004-11-01,12.450000,13.470000,11.400000,12.000000,5.469703,4045000
2004-12-01,11.920000,12.280000,11.260000,12.130000,5.528958,5546300
2005-01-01,12.130000,12.750000,11.710000,12.600000,5.801644,2571000
2005-02-01,12.550000,12.950000,11.460000,12.660000,5.829271,2011700
2005-03-01,12.740000,12.940000,11.570000,12.000000,5.525376,1788900
2005-04-01,12.000000,12.220000,10.450000,10.690000,4.972287,1871500
2005-05-01,10.610000,10.930000,9.910000,10.840000,5.042057,1932800
2005-06-01,10.810000,11.900000,9.980000,11.420000,5.311834,2139200
2005-07-01,11.280000,12.460000,11.280000,12.290000,5.785442,1858900
2005-08-01,12.240000,12.630000,11.840000,12.630000,5.945498,1382600
2005-09-01,12.560000,13.800000,12.200000,13.000000,6.119673,2244100
2005-10-01,12.900000,13.180000,12.200000,12.750000,6.058879,1559700
2005-11-01,12.700000,13.550000,12.350000,13.510000,6.420036,1447000
2005-12-01,13.810000,14.980000,13.810000,14.680000,6.976024,4135000
2006-01-01,14.780000,15.900000,14.560000,14.650000,7.079598,2929400
2006-02-01,14.600000,15.490000,14.220000,14.950000,7.224574,1649900
2006-03-01,15.000000,17.080000,14.910000,16.900000,8.166909,4960300
2006-04-01,16.900000,17.600000,16.299999,17.340000,8.499893,4856900
2006-05-01,17.340000,18.459999,17.110001,17.850000,8.749886,3925800
2006-06-01,17.850000,18.540001,15.510000,16.889999,8.279305,6297200
2006-07-01,16.950001,17.570000,15.890000,16.320000,8.119226,2416200
2006-08-01,16.219999,17.500000,15.350000,17.280001,8.596828,4266100
2006-09-01,17.030001,17.480000,16.280001,16.430000,8.173951,3939300
2006-10-01,16.469999,17.600000,16.040001,16.670000,8.413909,2645700
2006-11-01,16.760000,16.760000,15.650000,15.940000,8.045449,2610900
2006-12-01,15.980000,17.200001,15.750000,16.299999,8.227158,4962700
2007-01-01,16.320000,16.660000,15.840000,16.080000,8.232962,3254200
2007-02-01,16.090000,16.500000,15.800000,15.900000,8.140805,2804300
2007-03-01,15.800000,16.600000,15.500000,16.299999,8.345602,5108000
2007-04-01,16.330000,17.250000,16.000000,17.010000,8.841332,5124400
2007-05-01,16.990000,18.600000,16.850000,17.510000,9.101216,4823300
2007-06-01,17.620001,18.040001,15.580000,15.990000,8.311163,4513700
2007-07-01,15.950000,16.690001,14.590000,15.000000,7.905632,4457800
2007-08-01,14.870000,15.900000,13.490000,15.150000,7.984686,7956500
2007-09-01,15.040000,15.590000,13.900000,15.080000,7.947794,5015500
2007-10-01,15.030000,15.820000,14.630000,15.200000,8.142817,3692800
2007-11-01,15.300000,15.820000,14.400000,15.760000,8.442816,3335800
2007-12-01,15.840000,15.840000,13.950000,14.760000,7.907105,3094900
2008-01-01,14.730000,15.100000,13.350000,14.980000,8.155713,3090400
2008-02-01,15.000000,18.090000,14.970000,17.700001,9.636588,6459500
2008-03-01,17.799999,19.480000,17.200001,18.610001,10.132033,9522900
2008-04-01,18.709999,19.860001,17.549999,17.650000,9.803719,8184900
2008-05-01,17.549999,18.750000,15.880000,16.650000,9.248266,13642300
2008-06-01,16.510000,16.740000,14.970000,15.470000,8.592832,8953600
2008-07-01,15.480000,16.969999,13.940000,16.389999,9.309972,7542300
2008-08-01,16.500000,17.129999,15.000000,16.270000,9.241812,6611700
2008-09-01,16.260000,16.750000,14.800000,15.460000,8.781708,7172800
2008-10-01,15.360000,15.990000,12.500000,14.240000,8.272898,7526500
2008-11-01,14.160000,14.300000,8.760000,11.630000,6.756586,5403500
2008-12-01,11.500000,12.500000,10.200000,11.080000,6.437055,4826900
2009-01-01,11.010000,11.900000,9.700000,9.740000,5.828609,4075600
2009-02-01,9.550000,10.250000,8.980000,9.700000,5.804674,6118800
2009-03-01,9.570000,12.220000,9.020000,11.540000,6.905766,5714400
2009-04-01,11.450000,12.990000,10.340000,10.700000,6.637115,4643900
2009-05-01,10.700000,12.480000,10.670000,12.480000,7.741230,3536400
2009-06-01,12.550000,14.250000,12.070000,12.560000,7.790852,4431200
2009-07-01,12.790000,13.720000,11.930000,13.130000,8.359221,2690900
2009-08-01,13.320000,15.250000,13.150000,14.260000,9.078635,4015600
2009-09-01,14.300000,14.660000,13.670000,14.010000,8.919470,3333800
2009-10-01,13.980000,14.400000,13.200000,13.280000,8.669816,3513200
2009-11-01,13.430000,16.469999,13.090000,16.070000,10.491262,4692900
2009-12-01,16.240000,16.590000,14.790000,15.330000,10.008155,4794400
2010-01-01,15.590000,16.480000,15.470000,16.000000,10.683414,3489300
2010-02-01,16.170000,17.170000,15.800000,17.049999,11.384512,3888000
2010-03-01,17.129999,18.110001,17.000000,17.299999,11.551442,5918400
2010-04-01,17.309999,18.950001,17.000000,18.250000,12.433899,4155700
2010-05-01,18.340000,18.469999,12.860000,16.570000,11.289295,6497000
2010-06-01,16.370001,17.209999,15.420000,15.560000,10.601171,4997000
2010-07-01,15.600000,16.510000,15.010000,16.040001,11.168822,3284100
2010-08-01,16.299999,16.590000,13.500000,14.020000,9.762278,6541700
2010-09-01,14.150000,14.580000,13.590000,13.910000,9.685682,5482100
2010-10-01,13.980000,14.050000,13.240000,13.840000,9.881256,4562400
2010-11-01,13.930000,14.140000,13.510000,14.020000,10.009771,5401100
2010-12-01,14.180000,14.900000,13.880000,14.240000,10.166838,6493800
2011-01-01,14.380000,14.390000,11.500000,12.050000,8.817156,8892200
2011-02-01,12.010000,12.950000,11.860000,12.910000,9.446429,6884400
2011-03-01,13.030000,14.100000,11.990000,12.570000,9.197647,9888000
2011-04-01,12.620000,12.930000,9.990000,10.510000,7.899735,10696300
2011-05-01,10.450000,10.950000,10.000000,10.400000,7.817051,7886200
2011-06-01,10.340000,10.400000,8.880000,9.530000,7.163128,5807700
2011-07-01,9.490000,10.330000,9.450000,10.070000,7.666992,3656300
2011-08-01,10.150000,10.180000,8.680000,9.580000,7.293923,6202100
2011-09-01,9.600000,9.710000,8.670000,8.910000,6.783803,4051200
2011-10-01,8.830000,10.760000,8.700000,10.510000,8.110252,3197600
2011-11-01,10.230000,10.700000,9.060000,9.620000,7.423464,2737200
2011-12-01,9.570000,10.800000,9.150000,9.320000,7.191966,4068300
2012-01-01,9.420000,9.890000,9.290000,9.490000,7.410587,2370800
2012-02-01,9.560000,9.950000,9.020000,9.140000,7.137279,3985900
2012-03-01,9.150000,9.430000,8.670000,8.870000,6.926441,5565000
2012-04-01,8.960000,8.960000,7.770000,7.880000,6.236427,5760700
2012-05-01,7.860000,9.040000,7.770000,7.880000,6.236427,5478300
2012-06-01,7.770000,8.030000,7.440000,7.820000,6.188940,3586600
2012-07-01,7.800000,8.060000,7.560000,7.750000,6.229252,2846200
2012-08-01,7.770000,8.960000,7.540000,8.880000,7.137518,3688400
2012-09-01,8.820000,8.960000,8.040000,8.050000,6.470386,3240000
2012-10-01,8.070000,8.490000,7.970000,8.090000,6.594228,2765900
2012-11-01,8.120000,8.880000,7.500000,8.070000,6.577928,3283900
2012-12-01,8.100000,8.150000,7.670000,7.890000,6.431208,2943700
2013-01-01,7.990000,8.660000,7.910000,8.560000,7.081858,2583000
2013-02-01,8.570000,8.840000,8.260000,8.330000,6.891574,1957900
2013-03-01,8.220000,8.900000,8.200000,8.820000,7.296961,2700400
2013-04-01,8.760000,9.230000,8.560000,9.180000,7.701265,2654400
2013-05-01,9.120000,9.830000,8.940000,9.740000,8.171060,3226100
2013-06-01,9.750000,10.330000,9.550000,10.310000,8.649244,3915600
2013-07-01,10.280000,11.330000,10.210000,10.640000,9.036854,2661200
2013-08-01,10.640000,10.700000,9.650000,9.770000,8.297941,2969600
2013-09-01,9.850000,10.390000,9.620000,10.170000,8.637671,2689000
2013-10-01,10.220000,13.140000,10.150000,12.950000,11.127445,4102900
2013-11-01,12.910000,15.410000,12.570000,15.310000,13.155304,4029300
2013-12-01,15.300000,16.940001,13.970000,16.580000,14.246565,5392300
2014-01-01,16.549999,24.820000,15.310000,24.190001,20.958046,19311300
2014-02-01,24.299999,24.959999,21.780001,22.920000,19.857723,20552600
2014-03-01,22.780001,31.980000,22.600000,28.879999,25.021431,35256600
2014-04-01,28.879999,30.389999,18.820000,19.500000,16.962692,41002200
2014-05-01,19.940001,20.860001,10.550000,11.280000,9.812264,93830600
2014-06-01,11.340000,12.290000,10.890000,11.930000,10.377690,25076600
2014-07-01,11.960000,13.400000,11.400000,12.480000,10.972854,28949100
2014-08-01,12.530000,15.000000,12.300000,14.540000,12.784082,16736300
2014-09-01,14.580000,15.880000,13.380000,13.770000,12.107070,14251400
2014-10-01,13.770000,14.680000,12.070000,12.350000,10.947681,17412700
2014-11-01,12.350000,13.680000,11.410000,11.510000,10.203061,14984300
2014-12-01,11.530000,12.730000,10.760000,12.340000,10.938817,13048200
2015-01-01,12.400000,12.860000,9.820000,12.110000,10.848030,18507900
2015-02-01,12.130000,17.549999,11.810000,16.440001,14.726810,15528200
2015-03-01,16.420000,17.910000,13.750000,14.010000,12.550035,18431800
2015-04-01,14.020000,15.440000,13.010000,13.420000,12.108474,15084500
2015-05-01,13.770000,14.400000,13.150000,14.300000,12.902473,7587700
2015-06-01,14.360000,17.799999,13.640000,16.500000,14.887465,10624600
2015-07-01,16.590000,20.500000,15.400000,19.570000,17.791128,13366500
2015-08-01,19.540001,23.629999,19.000000,20.059999,18.236582,14251300
2015-09-01,19.750000,20.299999,16.150000,16.900000,15.363820,12807200
2015-10-01,16.879999,21.330000,16.590000,17.830000,16.309393,12880700
2015-11-01,17.770000,17.910000,16.129999,16.990000,15.541032,9585500
2015-12-01,17.080000,19.260000,15.520000,17.840000,16.318541,11721300
2016-01-01,17.440001,18.420000,15.780000,17.900000,16.495918,17243900
2016-02-01,17.629999,18.000000,14.200000,16.719999,15.408480,13691400
2016-03-01,16.820000,18.930000,16.680000,17.660000,16.274738,10944800
2016-04-01,17.540001,18.860001,15.550000,16.639999,15.440754,12633900
2016-05-01,16.639999,18.820000,16.549999,17.570000,16.303730,11503200
2016-06-01,17.469999,19.719999,17.270000,18.410000,17.083187,9308900
2016-07-01,18.480000,21.190001,17.799999,19.750000,18.452499,9230900
2016-08-01,19.750000,21.469999,18.870001,20.770000,19.405485,7802900
2016-09-01,20.809999,21.549999,19.120001,21.299999,19.900665,9143700
2016-10-01,21.270000,21.299999,17.389999,17.680000,16.618101,10126800
2016-11-01,17.740000,19.090000,16.770000,18.780001,17.652031,8215800
2016-12-01,18.840000,20.290001,18.150000,18.400000,17.294853,10275000
2017-01-01,18.570000,19.760000,18.000000,19.580000,18.515463,10383800
2017-02-01,19.740000,23.139999,19.120001,20.980000,19.839346,14208400
2017-03-01,21.270000,22.719999,20.090000,22.219999,21.011932,11889100
2017-04-01,22.389999,22.570000,20.549999,21.430000,20.385628,14621600
2017-05-01,21.570000,21.600000,19.120001,20.410000,19.415329,9303200
2017-06-01,20.440001,21.070000,20.090000,20.370001,19.377283,6848100
2017-07-01,20.420000,22.459999,20.090000,21.160000,20.245754,13677400
2017-08-01,21.219999,21.840000,20.559999,21.799999,20.858097,10070500
2017-09-01,21.799999,23.570000,21.490000,23.549999,22.532488,8247800
2017-10-01,23.740000,26.730000,21.219999,26.530001,25.522575,14940300
2017-11-01,26.750000,28.549999,25.920000,28.490000,27.408148,13016500
2017-12-01,28.549999,33.279999,28.180000,30.580000,29.418779,16868100
2018-01-01,30.770000,35.849998,30.610001,35.349998,34.136139,17453100
2018-02-01,35.279999,38.689999,33.230000,38.150002,36.839993,19497000
2018-03-01,38.090000,39.090000,35.799999,36.009998,34.773476,16262200
2018-04-01,35.939999,40.639999,34.689999,39.790001,38.547493,16291300
2018-05-01,39.720001,60.509998,38.500000,57.889999,56.082287,38175100
2018-06-01,57.950001,75.070000,57.650002,72.820000,70.546089,24909400
2018-07-01,72.220001,85.930000,71.660004,79.110001,76.789009,31645100
2018-08-01,78.519997,87.900002,76.610001,87.410004,84.845497,19864800
2018-09-01,87.260002,97.690002,83.900002,96.730003,93.892059,16182100
2018-10-01,97.360001,97.639999,64.790001,72.589996,70.558632,34420700
2018-11-01,72.400002,77.220001,58.500000,73.959999,71.890320,24415500
2018-12-01,75.690002,78.080002,65.480003,74.720001,72.629044,20956200
2019-01-01,73.300003,84.519997,71.730003,82.339996,80.165886,18422800
2019-02-01,82.400002,89.629997,74.500000,83.699997,81.489998,14716200
2019-03-01,84.330002,93.680000,80.160004,86.779999,84.488647,17959600
2019-04-01,86.949997,100.449997,81.919998,83.849998,81.748062,37648500
2019-05-01,84.239998,87.809998,71.089996,72.739998,70.916550,21901000
2019-06-01,72.750000,78.440002,71.089996,72.209999,70.399841,22680200
2019-07-01,73.349998,78.760002,67.660004,72.779999,71.072418,28088600
2019-08-01,72.870003,75.870003,63.040001,71.430000,69.754105,25895700
2019-09-01,70.739998,76.440002,68.459999,71.150002,69.480667,16544600
2019-10-01,71.839996,73.320000,53.250000,56.040001,54.816643,28651800
2019-11-01,56.049999,62.610001,52.689999,62.020000,60.666096,33481500
2019-12-01,62.029999,65.900002,60.000000,64.870003,63.453884,16841800
2020-01-01,65.419998,67.529999,45.099998,48.880001,47.904400,45171400
2020-02-01,48.959999,52.459999,40.240002,46.770000,45.836506,64034200
2020-03-01,47.000000,47.820000,29.100000,33.930000,33.252789,42064300
2020-04-01,33.250000,46.980000,32.330002,44.470001,43.717911,28887000
2020-05-01,43.500000,46.939999,40.400002,46.270000,45.487465,14505600
2020-06-01,46.299999,49.509998,41.130001,43.450001,42.715164,15062300
2020-07-01,43.980000,48.900002,43.270000,46.610001,45.947197,13868700
2020-08-01,46.660000,47.000000,42.380001,44.070000,43.443317,10946500
2020-09-01,44.000000,45.490002,37.880001,40.470001,39.894512,12250300
