Date,PPV
2016-04-03,WrestleMania 32
2016-05-01,Payback
2016-05-22,Extreme Rules
2016-06-19,Money in the Bank
2016-07-24,Battleground
2016-08-21,SummerSlam
2016-09-11,Backlash
2016-09-25,Clash of Champions
2016-10-09,No Mercy
2016-10-30,Hell in a Cell
2016-11-20,Survivor Series
2016-12-04,TLC: Tables Ladders & Chairs
2016-12-18,Roadblock: End of the Line
2017-01-29,Royal Rumble
2017-02-12,Elimination Chamber
2017-03-05,Fastlane
2017-04-02,WrestleMania 33
2017-04-30,Payback
2017-05-21,Backlash
2017-06-04,Extreme Rules
2017-06-18,Money in the Bank
2017-07-09,Great Balls of Fire
2017-07-23,Battleground
2017-08-20,SummerSlam
2017-09-24,No Mercy
2017-10-08,Hell in a Cell
2017-10-22,TLC: Tables Ladders & Chairs
2017-11-19,Survivor Series
2017-12-17,Clash of Champions
2018-01-28,Royal Rumble
2018-02-25,Elimination Chamber
2018-03-11,Fastlane
2018-04-08,WrestleMania 34
2018-04-27,Greatest Royal Rumble
2018-05-06,Backlash
2018-06-17,Money in the Bank
2018-07-15,Extreme Rules
2018-08-19,SummerSlam
2018-09-16,Hell in a Cell
2018-10-06,Super Show-Down
2018-10-28,Evolution
2018-11-02,Crown Jewel
2018-11-18,Survivor Series
2018-12-16,TLC: Tables Ladders & Chairs
2019-01-27,Royal Rumble
2019-02-17,Elimination Chamber
2019-03-10,Fastlane
2019-04-07,WrestleMania 35
2019-05-19,Money in the Bank
2019-06-07,Super ShowDown
2019-06-23,Stomping Grounds
2019-07-14,Extreme Rules
2019-08-11,SummerSlam
2019-09-15,Clash of Champions
2019-10-06,Hell in a Cell
2019-10-31,Crown Jewel
2019-11-24,Survivor Series
2019-12-15,TLC: Tables Ladders & Chairs
2020-01-26,Royal Rumble
2020-02-27,Super ShowDown
2020-03-08,Elimination Chamber
2020-04-45,WrestleMania 36
2020-05-10,Money in the Bank
2020-06-14,Backlash
2020-07-19,The Horror Show at Extreme Rules
2020-08-23,SummerSlam
2020-08-30,Payback
2020-09-27,Clash of Champions: Gold Rush
2020-10-25,Hell in a Cell
2020-11-22,Survivor Series
2020-12-20,Tables Ladders & Chairs (TLC)
2021-01-31,Royal Rumble
2021-02-21,Elimination Chamber
2021-03-21,Fastlane
2021-04-10,WrestleMania 37
2021-05-16,WrestleMania Backlash
2021-06-20,Hell in a Cell
2021-07-18,Money in the Bank
2021-08-21,SummerSlam
2021-09-26,Extreme Rules
2021-10-21,Crown Jewel
2021-11-21,Survivor Series
2022-01-01,Day 1
2022-01-29,Royal Rumble
2022-02-19,Elimination Chamber
